title,price,review_summary,sentiment,positive_percent,review_volume
Counter-Strike 2,0.0,"Very Positive 86% of the 2,508,216 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,86.0,2508216.0
Crimson Desert,1299.0,"Very Positive 83% of the 29,891 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,83.0,29891.0
Apex Legends™,0.0,"Mostly Positive 76% of the 438,048 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mostly Positive,76.0,438048.0
Marvel Rivals,0.0,"Mostly Positive 78% of the 273,104 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mostly Positive,78.0,273104.0
Slay the Spire 2,290.0,"Overwhelmingly Positive 95% of the 35,636 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Overwhelmingly Positive,95.0,35636.0
Warframe,0.0,"Very Positive 91% of the 289,295 user reviews for this game are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,91.0,289295.0
Steam Deck,,No Reviews,,,
Gray Zone Warfare,381.83,"Mostly Positive 71% of the 40,526 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mostly Positive,71.0,40526.0
PUBG: BATTLEGROUNDS,0.0,"Mixed 66% of the 443,263 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mixed,66.0,443263.0
ARC Raiders,607.2,"Very Positive 86% of the 180,543 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,86.0,180543.0
Dead by Daylight,329.99,"Mostly Positive 79% of the 251,203 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mostly Positive,79.0,251203.0
Resident Evil Requiem,999.0,"Overwhelmingly Positive 96% of the 44,681 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Overwhelmingly Positive,96.0,44681.0
Red Dead Redemption 2,299.75,"Very Positive 91% of the 290,417 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,91.0,290417.0
Borderlands 4,979.3,"Mixed 62% of the 40,357 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mixed,62.0,40357.0
THE FINALS,0.0,"Very Positive 80% of the 149,005 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,80.0,149005.0
Grand Theft Auto V Enhanced,299.5,"Mostly Positive 78% of the 55,489 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mostly Positive,78.0,55489.0
Marathon,649.0,"Very Positive 89% of the 24,582 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,89.0,24582.0
NBA 2K26,349.75,"Mostly Positive 74% of the 7,442 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mostly Positive,74.0,7442.0
The Seven Deadly Sins: Origin,0.0,"Mixed 55% of the 2,747 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mixed,55.0,2747.0
Tom Clancy's Rainbow Six Siege,0.0,"Very Positive 82% of the 766,318 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,82.0,766318.0
Life is Strange: Reunion,700.0,Very Positive 92% of the 756 user reviews for this game are positive.,Very Positive,92.0,756.0
War Thunder,0.0,"Mostly Positive 74% of the 303,381 user reviews for this game are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mostly Positive,74.0,303381.0
HELLDIVERS™ 2,699.0,"Very Positive 82% of the 615,052 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,82.0,615052.0
DEATH STRANDING 2: ON THE BEACH,1199.0,"Overwhelmingly Positive 95% of the 2,347 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Overwhelmingly Positive,95.0,2347.0
Dota 2,0.0,"Very Positive 88% of the 824,645 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,88.0,824645.0
Mega Man Star Force Legacy Collection,559.0,Very Positive 96% of the 108 user reviews for this game are positive.,Very Positive,96.0,108.0
Ready or Not,414.99,"Mostly Positive 76% of the 142,403 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mostly Positive,76.0,142403.0
Forza Horizon 6,1399.0,No Reviews,,,
Rust,449.0,"Very Positive 86% of the 516,894 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,86.0,516894.0
Heartopia,0.0,"Mixed 61% of the 6,098 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mixed,61.0,6098.0
Where Winds Meet,0.0,"Very Positive 87% of the 59,123 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,87.0,59123.0
Last Epoch,311.99,"Very Positive 80% of the 59,015 user reviews for this game are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,80.0,59015.0
Yu-Gi-Oh! Master Duel,0.0,"Mostly Positive 73% of the 47,466 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mostly Positive,73.0,47466.0
The Outlast Trials,122.99,"Very Positive 94% of the 37,415 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,94.0,37415.0
Retro Rewind - Video Store Simulator,199.0,"Very Positive 94% of the 2,240 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,94.0,2240.0
Nova Roma,239.99,Very Positive 96% of the 199 user reviews for this game are positive.,Very Positive,96.0,199.0
Borderlands®4 - Story Pack 1: Mad Ellie and the Vault of the Damned,599.0,Mostly Negative 37% of the 180 user reviews for this game are positive.,Mostly Negative,37.0,180.0
Super Battle Golf,101.99,"Very Positive 94% of the 3,894 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,94.0,3894.0
Dying Light: The Beast Restored Land,749.25,"Very Positive 88% of the 24,397 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Very Positive,88.0,24397.0
Infinity Nikki,0.0,"Mixed 53% of the 4,891 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mixed,53.0,4891.0
Phasmophobia,160.3,"Overwhelmingly Positive 96% of the 348,292 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Overwhelmingly Positive,96.0,348292.0
Scritchy Scratchy,64.79,"Overwhelmingly Positive 95% of the 1,348 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Overwhelmingly Positive,95.0,1348.0
Overwatch®,0.0,"Mostly Negative 38% of the 150,132 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mostly Negative,38.0,150132.0
MapleStory,0.0,"Mixed 61% of the 12,799 user reviews for this game are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mixed,61.0,12799.0
R.E.P.O.,115.0,"Overwhelmingly Positive 96% of the 122,699 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Overwhelmingly Positive,96.0,122699.0
The First Descendant,0.0,"Mixed 64% of the 50,066 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Mixed,64.0,50066.0
Baldur's Gate 3,1299.0,"Overwhelmingly Positive 96% of the 437,647 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Overwhelmingly Positive,96.0,437647.0
StarSavior,0.0,"Mixed 61% of the 1,988 user reviews for this game are positive.",Mixed,61.0,1988.0
EverSiege: Untold Ages,105.0,Mostly Positive 72% of the 277 user reviews for this game are positive.,Mostly Positive,72.0,277.0
Schedule I,227.99,"Overwhelmingly Positive 98% of the 183,599 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences.",Overwhelmingly Positive,98.0,183599.0
