Title,Price,Review_Summary
Counter-Strike 2,Free,"Very Positive 86% of the 2,508,216 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Crimson Desert,"Mex$ 1,299.00","Very Positive 83% of the 29,891 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Apex Legends™,Free,"Mostly Positive 76% of the 438,048 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Marvel Rivals,Free,"Mostly Positive 78% of the 273,104 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Slay the Spire 2,Mex$ 290.00,"Overwhelmingly Positive 95% of the 35,636 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Warframe,Free,"Very Positive 91% of the 289,295 user reviews for this game are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.  The review score for this product is calculated from reviews written in your language based on your preferences."
Steam Deck,TBA,No Reviews
Gray Zone Warfare,Mex$ 381.83,"Mostly Positive 71% of the 40,526 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
PUBG: BATTLEGROUNDS,Free,"Mixed 66% of the 443,263 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
ARC Raiders,Mex$ 607.20,"Very Positive 86% of the 180,543 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Dead by Daylight,Mex$ 329.99,"Mostly Positive 79% of the 251,203 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Resident Evil Requiem,Mex$ 999.00,"Overwhelmingly Positive 96% of the 44,681 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Red Dead Redemption 2,Mex$ 299.75,"Very Positive 91% of the 290,417 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Borderlands 4,Mex$ 979.30,"Mixed 62% of the 40,357 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
THE FINALS,Free,"Very Positive 80% of the 149,005 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Grand Theft Auto V Enhanced,Mex$ 299.50,"Mostly Positive 78% of the 55,489 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Marathon,Mex$ 649.00,"Very Positive 89% of the 24,582 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
NBA 2K26,Mex$ 349.75,"Mostly Positive 74% of the 7,442 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
The Seven Deadly Sins: Origin,Free,"Mixed 55% of the 2,747 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Tom Clancy's Rainbow Six Siege,Free,"Very Positive 82% of the 766,318 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Life is Strange: Reunion,Mex$ 700.00,Very Positive 92% of the 756 user reviews for this game are positive.
War Thunder,Free,"Mostly Positive 74% of the 303,381 user reviews for this game are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.  The review score for this product is calculated from reviews written in your language based on your preferences."
HELLDIVERS™ 2,Mex$ 699.00,"Very Positive 82% of the 615,052 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
DEATH STRANDING 2: ON THE BEACH,"Mex$ 1,199.00","Overwhelmingly Positive 95% of the 2,347 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Dota 2,Free,"Very Positive 88% of the 824,645 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Mega Man Star Force Legacy Collection,Mex$ 559.00,Very Positive 96% of the 108 user reviews for this game are positive.
Ready or Not,Mex$ 414.99,"Mostly Positive 76% of the 142,403 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Forza Horizon 6,"Mex$ 1,399.00",No Reviews
Rust,Mex$ 449.00,"Very Positive 86% of the 516,894 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Heartopia,Free,"Mixed 61% of the 6,098 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Where Winds Meet,Free,"Very Positive 87% of the 59,123 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Last Epoch,Mex$ 311.99,"Very Positive 80% of the 59,015 user reviews for this game are positive.  This product has experienced one or more periods of off-topic review activity.  Based on your preferences, the reviews within these periods have been excluded from this product's Review Score.  The review score for this product is calculated from reviews written in your language based on your preferences."
Yu-Gi-Oh! Master Duel,Free,"Mostly Positive 73% of the 47,466 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
The Outlast Trials,Mex$ 122.99,"Very Positive 94% of the 37,415 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Retro Rewind - Video Store Simulator,Mex$ 199.00,"Very Positive 94% of the 2,240 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Nova Roma,Mex$ 239.99,Very Positive 96% of the 199 user reviews for this game are positive.
Borderlands®4 - Story Pack 1: Mad Ellie and the Vault of the Damned,Mex$ 599.00,Mostly Negative 37% of the 180 user reviews for this game are positive.
Super Battle Golf,Mex$ 101.99,"Very Positive 94% of the 3,894 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Dying Light: The Beast Restored Land,Mex$ 749.25,"Very Positive 88% of the 24,397 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Infinity Nikki,Free,"Mixed 53% of the 4,891 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Phasmophobia,Mex$ 160.30,"Overwhelmingly Positive 96% of the 348,292 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
Scritchy Scratchy,Mex$ 64.79,"Overwhelmingly Positive 95% of the 1,348 user reviews for this game are positive.  The review score for this product is calculated from reviews written in your language based on your preferences."
